IPa,personal reference:  impersonal animate
IPB,Improbable validation
IPi,personal reference:  impersonal in animate
IPL,Implicative mood
IPS,Impressional modality
IPT,Suffix: Degree of importance/impact/signficance
IPU,Imputative sanction
IRG,Interrogative illocution
IRO,Ironic bias
ISR,Instrumentative format
ITC,Intercommutative aspect
ITG,Suffix:  Degree of Intelligence Manifested
ITM,Intermittent phase
ITN,Suffix:  Degree of Iteration
ITP,Interpretative case
ITR,Iterative phase
ITU,Intuitive validation
ITV,Intentive modality
ITY,"Suffix:  Degree of Speed (i.e., Intensity of Movement or Change)"
LAT,Suffix:  Degree Of Lateness/Earliness
LCT,Suffix:  Locational Octant Markers for Object Being Located (see Section 10.3.3)
LIM,Limitative case
LOC,Locative case
LTL,Literal bias
LVL,Suffix:  Levels (see Sec. 6.2)
M,Monadic perspective
ma,personal reference:  monadic animate 3rd party
MAT,Suffix:  Degree of Maturation
MD01,Suffix:  resigned to
MD02,Suffix:  devoted; committed to / devoted to
MD03,Suffix:  desired / sought-after; want to
MD04,"Suffix:  attempted, attempt at a …; try to, attempt to"
MD05,"Suffix:  capable, able; can / able to / capable of"
MD06,Suffix:  knowledgeable; can = know how to / familiar with
MD07,Suffix:  mandatory; must / have to
MD08,Suffix:  required; should / be to
MD09,Suffix:  expected; be supposed to
MD10,Suffix:  intended; mean to / intend to / shall
MD11,"Suffix:  chosen, selected; choose to / elect to"
MD12,Suffix:  …on impulse; feel like X-ing
MD13,Suffix:  promised; promise to
MD14,Suffix:  well-liked; like (to)
MD15,Suffix:  feared; fear (to)
MD16,Suffix:  willing; willing to
MD17,Suffix:  prepared / ready; prepared to/ready to
MD18,Suffix:  necessary / needed; need to
MD19,Suffix:  Daring; dare to
MD20,Suffix:  decided-upon; decide to
MD21,Suffix:  offered/offer of; offer to
MD22,Suffix:  aided / assisted; help to / aid in X-ing
MD24,Suffix:  not unexpected; be prone to / be apt to / tend to
MD25,Suffix:  agreed-upon; agree to
MD26,Suffix:  responsible for/in charge of
MD27,Suffix:  remember to
MD28,Suffix:  feel a need to / feel one should / feel one must / feel driven to
MD29,Suffix:  to guess or think [that]…
MD30,Suffix:  available; available to/for
MD31,Suffix:  potential; can = have potential to
MD32,Suffix:  permitted; can = permitted to
MD33,Suffix:  hoped-for; hope/wish to
MDL,Suffix:  Random pattern of modulation (unpredictable/irregular movement pattern)
MDN,Suffix:  Degree of Age or Modernity
MEC,Suffix:  Type of Mechanical Instrumentality = ‘by means of’
MED,Mediative case
MET,Suffix:  Metonymic Categories
mi,personal reference:  monadic inanimate 3rd party
MIN,Minimal level
MLR,Suffix: Meta-level representation/coordination/analysis
MLT,Multiform configuration
MNF,Manifestive function
MNO,Monoactive valence
MOT,Suffix:  Degree of Self-Conscious Deliberation or Motivation
MTA,Suffix:  Additional Motivation for an Action or State
MTV,Motive aspect
MUT,Mutual valence
MVT,Suffix:  Degree of Stillness/Movement
Mx,personal reference:  mixed third party (animate + inanimate and/or monadic + unbounded)
N,Gnomic perspective
NA1,Suffix:  Negation/affirmation of all morphological components
NA2,Suffix:  Negation/affirmation of stem + affixes but not adjunct information
NA3,Suffix:  Negation/affirmation of all morphological components except Modality
NAR,Suffix:  Negation/affirmation of all but aspectual or Modality information
NAV,Navigative case
NEC,Necessitative modality
NEW,Suffix:  Degree of Newness/Revision
NNN,Suffix:  n-numbered angles/facets/faces/sides/points/forms
NNR,Nonrelational valence
NRM,Normal essence
NTR,"Suffix:  Degree of Notoriety, Acceptance, Respect, Honor"
OAU,Suffix: Origin/Association/Utilization 
OBG,Obligative modality
OBJ,Objective format
OBL,Oblique case
Obv,personal reference:  obviative
OGN,Originative case
OPF,Suffix: Degree of Operational Functionality
OPR,Opportunitive modality
OPT,Optimal level
ORI,Orientative case
PAR,Partitive case
PAU,Pausal aspect
PCL,Preclusive aspect
PCN,"Suffix:  Degree of Care, Precision or Scrutiny"
PCR,Postcursive case
PCS,Precessive aspect
PCT,Punctual phase
PCV,Precursive case
PDC,Productive case
PER,Periodic case
PFT,Preferential modality
PHS,Suffix:  Phase categories
PHY,Suffix:  Degree of Physical Control
PLA,"Suffix:  Place, State, Setting Where…"
PLE,Suffix: Degree of (Un-)Pleasantness (of Effect or Result) 
PLM,Prolimitive case
PLV,Suffix:  polarity / logical valence values
PMP,Preemptive aspect
PMS,Promissory modality
POS,Possessive case
PPS,Propositional sanction
PPT,Purportive validation
PPT2,Purportive 2 validation
PPV,Propositive bias
PRB,Suffix:  Degree of Probability or Likelihood
PRC,Processual version
PRD,Predicative case
PRE,Preparative modality
PRG,Progressive aspect
PRL,Parallel valence
PRM,Permissive modality
PRO,Prolapsive case
PRP,Proprietive case
PRS,Prospective aspect
PRT,Precurrent format
PRX,Proximal extension
PSM,Presumptive validation
PSM2,Presumptive 2 validation
PST,Positive version
PSV,Procursive case
PTC,Protractive aspect
PTF,Suffix:  Part/Whole Functional Metaphors
PTG,Suffix:  Part/Whole Gestalt Componential Metaphors
PTI,Participative valence
PTL,Postulative case
PTN,Potential modality
PTT,"Suffix:  Non-Contiguous (i.e., Intermixed) Portion of the Whole"
PTV,Proclivitive modality
PTW,Suffix:  Contiguous Portion of the Whole
PTY,Suffix:  Degree of Prototypicalness
PUR,Purposive case
PUT,Putative validation
PVS,Provisional case
PXM,Suffix:  Degree of Proximity
QUA,"Suffix:  Degree of Quality, Effectiveness or Adequacy"
RAC,Reactive bias
RCO,Suffix:  Recoil in place (spring back; snap back; fall back into place)
RCP,Reciprocal valence
RCS,Recessative aspect
RCT,Recurrent phase
REA,Suffix:  Degree of Genuineness or Veracity
REB,Rebuttative sanction
REF,Referential case
REG,Regulative aspect
REP,Repetitive phase
REQ,Requisitive modality
RES,Resistive valence
RFU,Refutative sanction
RGR,Regressive aspect
RNC,Suffix: Renunciation 
ROL,Suffix:  Role
RPN,Suffix:  Pattern of Spatio-Temporal Repetition or Distribution of Set Members
RPS,Representational context
RPT,Reportive validation
RPV,Representative essence
RSL,Resultative format
RSM,Resumptive aspect
RSN,Suffix:  Reason for an Emotional State or Motivation for an Action
RTR,Retrospective aspect
RVL,Revelative bias
SBE,Subequative level
SBQ,Subsequent format
SBS,Suffix:  Subset of Configurative Set
SBT,Suffix:  Degree of Subtlety
SCH,Schematic format
SCO,Suffix:  Dynamic Change of Size
SCS,Suffix:  Degree of Success versus Failure
SCT,Suffix:  Degree of Shift/Change/Transition (used for both spatial and temporal contexts)
SDP,Suffix:  Subset of Duplex Set
SEG,Segmentative configuration
SEL,Selective bias
SEP,Suffix:  Spatio-Temporal Separability of a Configurative Set
SEQ,Suffix:  Numerical Sequence
SGS,Suggestive bias
SIM,Suffix:  Degree Of Similarity
SIT,Situative case
SIZ,Suffix:  Degree of Size
SKP,Skeptical bias
SML,Simultaneitive case
SOC,Suffix:  Type of Social Instrumentality = ‘by means of’
SOL,Solicitive bias
SPD,"Suffix:  Degree of Speed (i.e., Velocity = Distance Over Time)"
SPE,Speculative mood
SPQ,Superequative level
SPH,Suffix:  Degree of Sophistication
SPL,Superlative level
SPS,Suffix: Supersets/Multi-Level Gestalts 
SQC,Suffix:  Sequence of Cause and Effect
SQN,Sequential aspect
SQT,Suffix:  Sequence Relative to Present Context
SSD,Suffix:  Stem-Specific Derivatives
STA,Stative function
STG,Suffix: Stage of a Process 
STR,Suffix:  Degree of Physical Strength Possible or Used
STU,Stupefactive bias
SUB,Subjunctive mood
SUD,Suffix:  Degree of Suddenness
SUF,Suffix:  Degree Of Sufficiency
SUR,Surpassive level
SWR,Suffix:  Switch-reference
TAL,Suffix: Degree of Capacity or Talent For 
TEM,Suffix:  Alternative Temporal Aspects
TEN,Tentative validation
TFI,"Suffix:  Back & forth; to & fro in place (e.g., pendulum, wagging tail)"
TFM,Transformative case
TFV,"Suffix:  Back & forth over linear vector (e.g., snake-like; zig-zag)"
THR,Theoretical sanction
TMP,Temporary aspect
TNS,Transitional aspect
TPD,Suffix: Temporary Duration 
TPF,"Suffix:  Topic, Frame and Focus"
TPI,Suffix:  Impact or Duration Over Time
TPP,Suffix:  Temporal Position Relative to Present
TPR,Suffix:  Temporal Placement/Reaction/Viewpoint
TRD,Tardative aspect
TRF,Suffix: Transformation for Use
TRM,Terminative extension
TSP,Transpositive case
TYP,Suffix:  Degree of Typicalness
U,Unbounded perspective
ua,personal reference:  unbounded animate 3rd party
ui,personal reference:  unbounded inanimate 3rd party
UNFRAMED,Unframed relation
UNI,Uniplex configuration
UNQ,Suffix:  Degree of Specialness or Uniqueness
UTE,Suffix:  Utilitative or Enabling Means
UTL,Utilitative case
VAR,Variative affiliation
VOC,Vocative case
VOL,Voluntative modality
VWP,Suffix: From Viewpoint/Perspective Of 
WAK,Suffix:  Spread/wake/trail/area/expanse created by passage of entity
XPT,Suffix:  Expectation of Outcome
